127.0.0.1 - - [27/Feb/2017:10:35:14 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [27/Feb/2017:10:35:38 +0530] "GET /NonVegMarket/ HTTP/1.1" 200 25446
0:0:0:0:0:0:0:1 - - [27/Feb/2017:10:35:40 +0530] "GET /NonVegMarket/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2017:10:35:40 +0530] "GET /NonVegMarket/css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2017:10:35:40 +0530] "GET /NonVegMarket/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2017:10:35:40 +0530] "GET /NonVegMarket/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2017:10:35:40 +0530] "GET /NonVegMarket/css/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2017:10:35:40 +0530] "GET /NonVegMarket/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2017:10:35:40 +0530] "GET /NonVegMarket/css/loginmodal.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2017:10:35:41 +0530] "GET /NonVegMarket/images/003.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2017:10:35:41 +0530] "GET /NonVegMarket/images/004.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2017:10:35:41 +0530] "GET /NonVegMarket/images/005.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2017:10:35:41 +0530] "GET /NonVegMarket/images/006.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2017:10:35:41 +0530] "GET /NonVegMarket/images/loginlogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2017:10:35:41 +0530] "GET /NonVegMarket/images/001.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2017:10:35:41 +0530] "GET /NonVegMarket/images/about/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2017:10:35:41 +0530] "GET /NonVegMarket/images/002.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2017:10:35:41 +0530] "GET /NonVegMarket/images/about/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2017:10:35:41 +0530] "GET /NonVegMarket/images/about/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2017:10:35:41 +0530] "GET /NonVegMarket/images/008.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2017:10:35:41 +0530] "GET /NonVegMarket/js/jquery.lwtCountdown-1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2017:10:35:41 +0530] "GET /NonVegMarket/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2017:10:35:41 +0530] "GET /NonVegMarket/js/vendor/modernizr-2.6.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2017:10:35:41 +0530] "GET /NonVegMarket/js/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2017:10:35:41 +0530] "GET /NonVegMarket/js/jquery.form.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2017:10:35:41 +0530] "GET /NonVegMarket/js/plugins.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2017:10:35:41 +0530] "GET /NonVegMarket/js/jquery.nav.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2017:10:35:41 +0530] "GET /NonVegMarket/images/007.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2017:10:35:41 +0530] "GET /NonVegMarket/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2017:10:35:41 +0530] "GET /NonVegMarket/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2017:10:35:41 +0530] "GET /NonVegMarket/js/vendor/jquery-1.10.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2017:10:35:41 +0530] "GET /NonVegMarket/js/jquery.sticky.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2017:10:35:41 +0530] "GET /NonVegMarket/js/wow.min.js HTTP/1.1" 304 -
