0:0:0:0:0:0:0:1 - - [24/Feb/2017:10:41:46 +0530] "GET /NonVegMarket/fonts/ionicons.ttf?v=2.0.1 HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [24/Feb/2017:10:41:46 +0530] "GET /NonVegMarket/fonts/ionicons.woff?v=2.0.1 HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [24/Feb/2017:10:44:06 +0530] "GET /NonVegMarket/ HTTP/1.1" 200 22747
0:0:0:0:0:0:0:1 - - [24/Feb/2017:10:44:07 +0530] "GET /NonVegMarket/img/header-overlay.png HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [24/Feb/2017:10:44:07 +0530] "GET /NonVegMarket/fonts/ionicons.ttf?v=2.0.1 HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [24/Feb/2017:10:44:07 +0530] "GET /NonVegMarket/fonts/ionicons.woff?v=2.0.1 HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [24/Feb/2017:10:44:07 +0530] "GET /NonVegMarket/js/vendor/jquery-1.10.2.min.map HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [24/Feb/2017:10:44:53 +0530] "GET /NonVegMarket/ HTTP/1.1" 200 22747
0:0:0:0:0:0:0:1 - - [24/Feb/2017:10:44:54 +0530] "GET /NonVegMarket/css/ionicons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2017:10:44:54 +0530] "GET /NonVegMarket/css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2017:10:44:54 +0530] "GET /NonVegMarket/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2017:10:44:54 +0530] "GET /NonVegMarket/css/main.css HTTP/1.1" 200 17488
0:0:0:0:0:0:0:1 - - [24/Feb/2017:10:44:54 +0530] "GET /NonVegMarket/css/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2017:10:44:54 +0530] "GET /NonVegMarket/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2017:10:44:54 +0530] "GET /NonVegMarket/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2017:10:44:54 +0530] "GET /NonVegMarket/js/vendor/jquery-1.10.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2017:10:44:54 +0530] "GET /NonVegMarket/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2017:10:44:54 +0530] "GET /NonVegMarket/js/vendor/modernizr-2.6.2.min.js HTTP/1.1" 304 -
